symbol,company_name,effective_from,effective_to,is_current
Omax Autos Ltd.,Omax Autos Ltd.,2003-12-05,2011-03-25,False
State Trading Corporation of India Ltd.,State Trading Corporation of India Ltd.,2003-12-05,2012-04-27,False
Indo Gulf Fertilisers Ltd.,Indo Gulf Fertilisers Ltd.,2003-12-11,2006-04-10,False
SML Isuzu Ltd.,SML Isuzu Ltd.,2004-01-02,2009-03-27,False
JSW Steel Ltd.,JSW Steel Ltd.,2004-01-28,2005-02-21,False
Maruti Suzuki India Ltd.,Maruti Suzuki India Ltd.,2004-03-01,,True
Godrej Industries Ltd.,Godrej Industries Ltd.,2004-03-15,,True
Indo Rama Synthetics Ltd.,Indo Rama Synthetics Ltd.,2004-03-15,2013-04-01,False
Nava Bharat Ventures Ltd.,Nava Bharat Ventures Ltd.,2004-03-15,,True
Rane Engine Valves Ltd. -old,Rane Engine Valves Ltd. -old,2004-03-22,2008-02-15,False
Munjal Auto Industries Ltd.,Munjal Auto Industries Ltd.,2004-04-12,2006-05-17,False
Rane Brake Linings Ltd. -old,Rane Brake Linings Ltd. -old,2004-04-16,2008-02-15,False
UCO Bank,UCO Bank,2004-05-24,,True
Welspun Corp Ltd.,Welspun Corp Ltd.,2004-06-14,2013-11-18,False
Welspun India Ltd.,Welspun India Ltd.,2004-07-09,2009-06-19,False
Dredging Corporation of India Ltd.,Dredging Corporation of India Ltd.,2004-08-27,,True
UPL Ltd.,UPL Ltd.,2004-08-30,,True
Larsen & Toubro Ltd.,Larsen & Toubro Ltd.,2004-11-18,,True
Biocon Ltd.,Biocon Ltd.,2004-12-10,,True
Dishman Pharmaceuticals & Chemicals Ltd.,Dishman Pharmaceuticals & Chemicals Ltd.,2004-12-10,,True
Indraprastha Gas Ltd.,Indraprastha Gas Ltd.,2004-12-10,,True
Jaiprakash Associates Ltd.,Jaiprakash Associates Ltd.,2004-12-10,,True
LG Balakrishnan & Bros Ltd.,LG Balakrishnan & Bros Ltd.,2004-12-10,2008-05-21,False
Matrix Laboratories Ltd.,Matrix Laboratories Ltd.,2004-12-10,2009-08-14,False
Monnet Ispat and Energy Ltd.,Monnet Ispat and Energy Ltd.,2004-12-10,,True
NCC Ltd.,NCC Ltd.,2004-12-10,,True
NDTV Ltd.,NDTV Ltd.,2004-12-10,2014-03-28,False
Patni Computer Systems Ltd.,Patni Computer Systems Ltd.,2004-12-10,2012-05-21,False
Petronet LNG Ltd.,Petronet LNG Ltd.,2004-12-10,,True
Shree Rama Newsprint Ltd.,Shree Rama Newsprint Ltd.,2004-12-10,2006-08-02,False
Sterlite Industries (India) Ltd.,Sterlite Industries (India) Ltd.,2004-12-10,2012-09-28,False
Strides Arcolab Ltd.,Strides Arcolab Ltd.,2004-12-10,,True
Suryalakshmi Cotton Mills Ltd.,Suryalakshmi Cotton Mills Ltd.,2004-12-10,2005-04-06,False
TV Today Network Ltd.,TV Today Network Ltd.,2004-12-10,2012-09-28,False
Tata Consultancy Services Ltd.,Tata Consultancy Services Ltd.,2004-12-22,,True
UltraTech Cement Ltd.,UltraTech Cement Ltd.,2005-01-05,,True
Indiabulls Financial Services Ltd.,Indiabulls Financial Services Ltd.,2005-02-18,2013-03-19,False
Jindal Stainless Ltd.,Jindal Stainless Ltd.,2005-02-21,,True
Bosch Chassis Systems India Ltd.,Bosch Chassis Systems India Ltd.,2005-03-04,2008-10-31,False
Shriram Investments Ltd.-Merged,Shriram Investments Ltd.-Merged,2005-03-15,2005-12-14,False
NTPC Ltd.,NTPC Ltd.,2005-03-24,,True
Tata Metaliks Ltd.,Tata Metaliks Ltd.,2005-04-06,2012-04-27,False
Gujarat NRE Coke Ltd.,Gujarat NRE Coke Ltd.,2005-04-08,,True
Fresenius Kabi Oncology Ltd.,Fresenius Kabi Oncology Ltd.,2005-04-13,2013-11-18,False
Aarti Industries Ltd.,Aarti Industries Ltd.,2005-04-20,,True
Radico Khaitan Ltd,Radico Khaitan Ltd,2005-04-20,,True
Ind-Swift Laboratories Ltd.,Ind-Swift Laboratories Ltd.,2005-04-25,2013-04-01,False
Vishal Exports Overseas Ltd.,Vishal Exports Overseas Ltd.,2005-05-09,2009-03-27,False
Patel Engineering Ltd.,Patel Engineering Ltd.,2005-06-29,,True
Jet Airways (India) Ltd.,Jet Airways (India) Ltd.,2005-08-05,2013-09-27,False
Bhansali Engineering Polymers Ltd.,Bhansali Engineering Polymers Ltd.,2005-09-26,2013-04-01,False
Consolidated Finvest & Holdings Ltd.,Consolidated Finvest & Holdings Ltd.,2005-09-26,2010-04-08,False
Dwarikesh Sugar Industrial Ltd.,Dwarikesh Sugar Industrial Ltd.,2005-09-26,2011-03-25,False
Gateway Distriparks Ltd.,Gateway Distriparks Ltd.,2005-09-26,,True
HSIL Ltd.,HSIL Ltd.,2005-09-26,,True
Narmada Chematur Petrochemicals Ltd.,Narmada Chematur Petrochemicals Ltd.,2005-09-26,2007-03-15,False
Rajesh Exports Ltd.,Rajesh Exports Ltd.,2005-09-26,,True
Financial Technologies (India) Ltd.,Financial Technologies (India) Ltd.,2005-12-08,,True
Shoppers Stop Ltd.,Shoppers Stop Ltd.,2006-01-06,,True
IDFC Ltd.,IDFC Ltd.,2006-02-03,,True
Gokaldas Exports Ltd.,Gokaldas Exports Ltd.,2006-03-02,2011-03-25,False
HSBC InvestDirect (India) Ltd.,HSBC InvestDirect (India) Ltd.,2006-03-02,2010-07-08,False
HT Media Ltd.,HT Media Ltd.,2006-03-02,,True
Mercator Ltd.,Mercator Ltd.,2006-03-02,,True
Simplex Infrastructures Ltd.,Simplex Infrastructures Ltd.,2006-03-02,,True
Suzlon Energy Ltd.,Suzlon Energy Ltd.,2006-03-23,,True
Triveni Engineering & Industries Ltd.,Triveni Engineering & Industries Ltd.,2006-04-10,2011-05-03,False
Shree Renuka Sugars Ltd.,Shree Renuka Sugars Ltd.,2006-04-13,,True
Deccan Chronicle Holdings Ltd.,Deccan Chronicle Holdings Ltd.,2006-05-17,2013-01-23,False
Reliance Communications Ltd.,Reliance Communications Ltd.,2006-07-10,,True
Videocon Industries Ltd.,Videocon Industries Ltd.,2006-07-14,,True
Reliance Natural Resources Ltd.,Reliance Natural Resources Ltd.,2006-07-25,2010-10-07,False
B L Kashyap & Sons Ltd.,B L Kashyap & Sons Ltd.,2006-08-02,2011-10-10,False
Punj Lloyd Ltd.,Punj Lloyd Ltd.,2006-08-10,,True
Ansal Properties & Infrastructure Ltd.,Ansal Properties & Infrastructure Ltd.,2006-09-13,,True
Kirloskar Brothers Ltd.,Kirloskar Brothers Ltd.,2006-09-13,2010-03-09,False
Kalpataru Power Transmission Ltd.,Kalpataru Power Transmission Ltd.,2006-09-13,,True
Inox Leisure Ltd.,Inox Leisure Ltd.,2006-09-21,2012-04-27,False
Sun TV Network Ltd.,Sun TV Network Ltd.,2006-09-22,,True
Gitanjali Gems Ltd.,Gitanjali Gems Ltd.,2006-09-28,,True
Mahindra & Mahindra Financial Services Ltd.,Mahindra & Mahindra Financial Services Ltd.,2006-10-05,,True
Era Infra Engineering Ltd.,Era Infra Engineering Ltd.,2006-11-08,2014-09-19,False
D.S. Kulkarni Developers Ltd.,D.S. Kulkarni Developers Ltd.,2006-11-17,2011-10-10,False
GMR Infrastructure Ltd.,GMR Infrastructure Ltd.,2006-12-15,,True
Tech Mahindra Ltd.,Tech Mahindra Ltd.,2007-01-24,,True
Shree Precoated Steels Ltd.,Shree Precoated Steels Ltd.,2007-01-24,2009-05-11,False
Unity Infraprojects Ltd.,Unity Infraprojects Ltd.,2007-03-06,2013-04-01,False
Noida-Toll Bridge Co. Ltd.,Noida-Toll Bridge Co. Ltd.,2007-04-04,,True
Jagran Prakashan Ltd.,Jagran Prakashan Ltd.,2007-04-04,,True
McLeod Russel India Ltd.,McLeod Russel India Ltd.,2007-04-04,,True
Allcargo Logistics Ltd.,Allcargo Logistics Ltd.,2007-04-04,,True
Bombay Rayon Fashions Ltd.,Bombay Rayon Fashions Ltd.,2007-04-04,2014-03-28,False
Uttam Sugar Mills Ltd.,Uttam Sugar Mills Ltd.,2007-04-04,2009-10-22,False
Geojit BNP Paribas Financial Services Ltd.,Geojit BNP Paribas Financial Services Ltd.,2007-04-04,,True
Amtek India Ltd.,Amtek India Ltd.,2007-04-04,,True
Entertainment Network India Ltd.,Entertainment Network India Ltd.,2007-04-04,,True
Parsvnath Developer Ltd.,Parsvnath Developer Ltd.,2007-04-30,,True
Lanco Infratech Ltd.,Lanco Infratech Ltd.,2007-06-04,,True
Indiabulls Real Estate Ltd.,Indiabulls Real Estate Ltd.,2007-09-10,2011-12-07,False
Lakshmi Energy & Foods Ltd.,Lakshmi Energy & Foods Ltd.,2007-09-24,2012-04-27,False
Provogue (India) Ltd.,Provogue (India) Ltd.,2007-09-24,2012-03-07,False
JM Financial Ltd.,JM Financial Ltd.,2007-09-24,,True
Power Finance Corporation Ltd.,Power Finance Corporation Ltd.,2007-09-24,,True
Sobha Developers Ltd.,Sobha Developers Ltd.,2007-09-24,,True
Donear Industries Ltd.,Donear Industries Ltd.,2007-09-24,2010-04-08,False
Idea Cellular Ltd.,Idea Cellular Ltd.,2007-09-24,,True
GTL Infrastructure Ltd.,GTL Infrastructure Ltd.,2007-09-24,2012-09-28,False
MindTree Ltd.,MindTree Ltd.,2007-10-05,,True
Educomp Solutions Ltd.,Educomp Solutions Ltd.,2007-10-25,2015-03-27,False
TV18 Broadcast Ltd.,TV18 Broadcast Ltd.,2007-11-29,,True
DLF Ltd.,DLF Ltd.,2007-12-07,,True
India Infoline Ltd.,India Infoline Ltd.,2007-12-26,,True
Firstsource Solutions Ltd.,Firstsource Solutions Ltd.,2007-12-26,,True
Hubtown Ltd.,Hubtown Ltd.,2008-01-01,2015-03-27,False
Info Edge (India) Ltd.,Info Edge (India) Ltd.,2008-01-28,,True
Siti Cable Network Ltd.,Siti Cable Network Ltd.,2008-02-15,2009-03-27,False
Pearl Global Industries Ltd.,Pearl Global Industries Ltd.,2008-02-15,2011-03-25,False
Anant Raj Ltd.,Anant Raj Ltd.,2008-02-15,,True
NIIT Ltd.,NIIT Ltd.,2008-02-15,,True
ABG Shipyard Ltd.,ABG Shipyard Ltd.,2008-02-15,,True
Zee Media Corporation Ltd.,Zee Media Corporation Ltd.,2008-02-29,2010-04-15,False
Power Grid Corporation of India Ltd.,Power Grid Corporation of India Ltd.,2008-03-14,,True
Housing Development and Infrastructure Ltd.,Housing Development and Infrastructure Ltd.,2008-04-23,,True
Adani Ports and Special Economic Zone Ltd.,Adani Ports and Special Economic Zone Ltd.,2008-04-24,,True
Edelweiss Financial Services Ltd.,Edelweiss Financial Services Ltd.,2008-05-21,,True
Reliance Power Ltd.,Reliance Power Ltd.,2008-09-10,,True
NMDC Ltd.,NMDC Ltd.,2008-09-10,,True
Rei Agro Ltd.,Rei Agro Ltd.,2008-09-10,2015-03-27,False
Bajaj Holdings & Investment Ltd.,Bajaj Holdings & Investment Ltd.,2008-09-10,,True
Fortis Healthcare Ltd.,Fortis Healthcare Ltd.,2008-09-10,,True
Rural Electrification Corporation Ltd.,Rural Electrification Corporation Ltd.,2008-09-10,,True
Reliance Petroleum Ltd.,Reliance Petroleum Ltd.,2008-09-22,2009-06-17,False
Bajaj Finserv Ltd.,Bajaj Finserv Ltd.,2008-10-31,,True
Omaxe Ltd.,Omaxe Ltd.,2008-11-05,,True
Religare Enterprises Ltd.,Religare Enterprises Ltd.,2008-12-03,,True
Cairn India Ltd.,Cairn India Ltd.,2009-01-12,,True
GVK Power & Infrastructures Ltd.,GVK Power & Infrastructures Ltd.,2009-02-25,,True
Advanta Ltd.,Advanta Ltd.,2009-03-27,,True
Capital First Ltd.,Capital First Ltd.,2009-03-27,,True
V2 Retail Ltd.,V2 Retail Ltd.,2009-03-27,2011-03-25,False
Puravankara Projects Ltd.,Puravankara Projects Ltd.,2009-03-27,,True
UTV Software Communication Ltd.,UTV Software Communication Ltd.,2009-03-27,2012-03-09,False
IRB Infrastructure Developers Ltd.,IRB Infrastructure Developers Ltd.,2009-03-27,,True
Koutons Retail India Ltd.,Koutons Retail India Ltd.,2009-03-27,2011-10-10,False
K.S. Oils Ltd.,K.S. Oils Ltd.,2009-03-27,2013-06-21,False
National Fertilizers Ltd.,National Fertilizers Ltd.,2009-03-27,2012-04-27,False
Jai Corp Ltd.,Jai Corp Ltd.,2009-03-27,,True
Dynamatic Technologies Ltd.,Dynamatic Technologies Ltd.,2009-03-27,2014-03-28,False
Motilal Oswal Financial Services Ltd.,Motilal Oswal Financial Services Ltd.,2009-04-17,,True
Phoenix Mills Ltd.,Phoenix Mills Ltd.,2009-06-17,,True
Tulip Telecom Ltd.,Tulip Telecom Ltd.,2009-06-19,2014-03-28,False
Century Plyboards (India) Ltd.,Century Plyboards (India) Ltd.,2009-06-23,2013-07-17,False
Torrent Power Ltd.,Torrent Power Ltd.,2009-07-31,,True
Indiabulls Securities Ltd.,Indiabulls Securities Ltd.,2009-08-14,,True
United Breweries Ltd.,United Breweries Ltd.,2009-10-22,,True
PTC India Ltd.,PTC India Ltd.,2009-10-22,,True
GOL Offshore Ltd.,GOL Offshore Ltd.,2009-10-22,2014-09-19,False
Kec International Ltd.,Kec International Ltd.,2009-10-22,,True
Gujarat State Petronet Ltd.,Gujarat State Petronet Ltd.,2009-10-22,,True
Yes Bank Ltd.,Yes Bank Ltd.,2009-10-22,,True
Everest Kanto Cylinder Ltd.,Everest Kanto Cylinder Ltd.,2009-10-22,2012-09-28,False
Redington (India) Ltd.,Redington (India) Ltd.,2009-10-22,,True
3i Infotech Ltd.,3i Infotech Ltd.,2009-12-22,2013-09-27,False
Brigade Enterprises Ltd.,Brigade Enterprises Ltd.,2010-03-09,,True
NHPC Ltd.,NHPC Ltd.,2010-04-06,,True
Banco Products (India) Ltd.,Banco Products (India) Ltd.,2010-04-08,2013-04-01,False
Binani Cement Ltd.,Binani Cement Ltd.,2010-04-08,2011-05-18,False
Gammon Infrastructure Projects Ltd.,Gammon Infrastructure Projects Ltd.,2010-04-08,,True
JSW Holdings Ltd.,JSW Holdings Ltd.,2010-04-08,,True
Karuturi Global Ltd.,Karuturi Global Ltd.,2010-04-08,2014-03-28,False
Adani Power Ltd.,Adani Power Ltd.,2010-04-15,2014-09-19,False
Oil India Ltd.,Oil India Ltd.,2010-04-15,,True
JSW Energy Ltd.,JSW Energy Ltd.,2010-05-26,,True
Tinplate Company of India Ltd.,Tinplate Company of India Ltd.,2010-07-08,2014-09-19,False
Jaypee Infratech Ltd.,Jaypee Infratech Ltd.,2010-09-17,,True
D B Realty Ltd.,D B Realty Ltd.,2010-09-24,,True
Jaiprakash Power Ventures Ltd.,Jaiprakash Power Ventures Ltd.,2010-10-07,,True
Jubilant Foodworks Ltd.,Jubilant Foodworks Ltd.,2010-10-07,,True
Sunteck Realty Ltd.,Sunteck Realty Ltd.,2010-11-25,,True
Hathway Cable & Datacom Ltd.,Hathway Cable & Datacom Ltd.,2011-01-20,,True
Shree Ashtavinayak Cine Vision Ltd.,Shree Ashtavinayak Cine Vision Ltd.,2011-01-20,2014-03-28,False
Orbit Corporation Ltd.,Orbit Corporation Ltd.,2011-03-24,2014-09-19,False
Allied Digital Services Ltd.,Allied Digital Services Ltd.,2011-03-25,2012-04-27,False
BGR Energy Systems Ltd,BGR Energy Systems Ltd,2011-03-25,,True
Bajaj Electricals Ltd,Bajaj Electricals Ltd,2011-03-25,,True
CORE Education & Technologies Ltd.,CORE Education & Technologies Ltd.,2011-03-25,2014-09-19,False
Cox & Kings Ltd.,Cox & Kings Ltd.,2011-03-25,,True
Delta Corp Ltd.,Delta Corp Ltd.,2011-03-25,,True
Emami Ltd.,Emami Ltd.,2011-03-25,,True
Godrej Properties Ltd.,Godrej Properties Ltd.,2011-03-25,,True
Kemrock Industries and Exports Ltd.,Kemrock Industries and Exports Ltd.,2011-03-25,2013-09-27,False
Opto Circuits (I) Ltd.,Opto Circuits (I) Ltd.,2011-03-25,,True
Orissa Min Dev Co Ltd.,Orissa Min Dev Co Ltd.,2011-03-25,,True
Pipavav Defence and Offshore Engineering Company Ltd.,Pipavav Defence and Offshore Engineering Company Ltd.,2011-03-25,,True
Sadbhav Engineering Ltd,Sadbhav Engineering Ltd,2011-03-25,,True
Zydus Wellness Ltd.,Zydus Wellness Ltd.,2011-03-25,,True
Coal India Ltd.,Coal India Ltd.,2011-04-11,,True
Oberoi Realty Ltd.,Oberoi Realty Ltd.,2011-04-21,,True
Prestige Estates Projects Ltd.,Prestige Estates Projects Ltd.,2011-05-03,,True
ARSS Infrastructure Projects Ltd.,ARSS Infrastructure Projects Ltd.,2011-05-18,2012-09-28,False
IL&FS Engineering and Construction Company Ltd.,IL&FS Engineering and Construction Company Ltd.,2011-05-18,2015-03-27,False
Dish TV India Ltd.,Dish TV India Ltd.,2011-08-29,2013-09-27,False
AIA Engineering Ltd.,AIA Engineering Ltd.,2011-10-10,,True
BF Utilities Ltd.,BF Utilities Ltd.,2011-10-10,,True
Central Bank of India,Central Bank of India,2011-10-10,,True
Development Credit Bank Ltd,Development Credit Bank Ltd,2011-10-10,,True
Dewan Housing Finance Corporation Ltd.,Dewan Housing Finance Corporation Ltd.,2011-10-10,,True
Dhanlaxmi Bank Ltd.,Dhanlaxmi Bank Ltd.,2011-10-10,,True
Gujarat Pipavav Port Ltd.,Gujarat Pipavav Port Ltd.,2011-10-10,,True
Himachal Fut Com Ltd.,Himachal Fut Com Ltd.,2011-10-10,,True
Indiabulls Power Ltd.,Indiabulls Power Ltd.,2011-10-10,,True
Indian Bank,Indian Bank,2011-10-10,,True
KSK Energy Ventures Ltd,KSK Energy Ventures Ltd,2011-10-10,,True
Network18 Media & Investments Ltd.,Network18 Media & Investments Ltd.,2011-10-10,,True
Page Industries Ltd.,Page Industries Ltd.,2011-10-10,,True
Persistent Systems Ltd.,Persistent Systems Ltd.,2011-10-10,,True
SKS Microfinance Ltd.,SKS Microfinance Ltd.,2011-10-10,,True
State Bank of Bikaner & Jaipur Ltd.,State Bank of Bikaner & Jaipur Ltd.,2011-10-10,,True
State Bank of Travancore,State Bank of Travancore,2011-10-10,,True
Sujana Towers Ltd.-old,Sujana Towers Ltd.-old,2011-10-10,2013-08-07,False
eClerx Services Ltd.,eClerx Services Ltd.,2011-10-10,,True
Future Consumer Enterprise Ltd.,Future Consumer Enterprise Ltd.,2011-11-22,2013-06-11,False
Jai Balaji Industries Ltd.,Jai Balaji Industries Ltd.,2011-12-07,2013-04-01,False
MVL Ltd.,MVL Ltd.,2011-12-14,2013-04-01,False
L&T Finance Holdings Ltd.,L&T Finance Holdings Ltd.,2012-03-09,,True
United Breweries (Holdings) Ltd.,United Breweries (Holdings) Ltd.,2012-04-09,2014-03-28,False
J.Kumar Infraprojects Ltd.,J.Kumar Infraprojects Ltd.,2012-04-12,,True
Arshiya International Ltd.,Arshiya International Ltd.,2012-04-27,2013-09-27,False
Eros Intl Media Ltd.,Eros Intl Media Ltd.,2012-04-27,,True
ICRA Ltd.,ICRA Ltd.,2012-04-27,,True
ICSA (India) Ltd.,ICSA (India) Ltd.,2012-04-27,2012-09-28,False
Kwality Ltd.,Kwality Ltd.,2012-04-27,2013-04-01,False
Lovable Lingerie Ltd.,Lovable Lingerie Ltd.,2012-04-27,2015-03-27,False
Muthoot Finance Ltd.,Muthoot Finance Ltd.,2012-04-27,,True
Ramky Infra Ltd.,Ramky Infra Ltd.,2012-04-27,2013-09-27,False
TD Power Systems Ltd.,TD Power Systems Ltd.,2012-04-27,,True
Techno Elt & Eng Co. Ltd.,Techno Elt & Eng Co. Ltd.,2012-04-27,,True
Tree House Education & Accessories Ltd.,Tree House Education & Accessories Ltd.,2012-04-27,,True
WABCO India Ltd.,WABCO India Ltd.,2012-04-27,,True
S.E. Investments Ltd.,S.E. Investments Ltd.,2012-05-21,,True
Man Infraconstruction Ltd.,Man Infraconstruction Ltd.,2012-06-18,2014-09-19,False
Autoline Industries Ltd.,Autoline Industries Ltd.,2012-09-28,2013-09-27,False
Balkrishna Industries Ltd.,Balkrishna Industries Ltd.,2012-09-28,2015-03-24,False
Flexituff International Ltd.,Flexituff International Ltd.,2012-09-28,,True
Gati Ltd.,Gati Ltd.,2012-09-28,,True
Innoventive Industries Ltd.,Innoventive Industries Ltd.,2012-09-28,2014-03-28,False
Mandhana Industries Ltd.,Mandhana Industries Ltd.,2012-09-28,,True
Mangalore Chemicals & Fertilizers Ltd.,Mangalore Chemicals & Fertilizers Ltd.,2012-09-28,,True
Prime Focus Ltd,Prime Focus Ltd,2012-09-28,2015-03-27,False
Shri Lakshmi Cotsyn Ltd.,Shri Lakshmi Cotsyn Ltd.,2012-09-28,2013-04-01,False
Shriram City Union Finance Ltd.,Shriram City Union Finance Ltd.,2012-09-28,,True
Supreme Infrastructure India Ltd.,Supreme Infrastructure India Ltd.,2012-09-28,,True
TTK Prestige Ltd.,TTK Prestige Ltd.,2012-09-28,,True
Vakrangee Software Ltd.,Vakrangee Software Ltd.,2012-09-28,,True
MOIL Ltd.,MOIL Ltd.,2013-01-23,,True
Sun Pharma Advanced Research Company Ltd.,Sun Pharma Advanced Research Company Ltd.,2013-03-07,2013-09-27,False
PVR Ltd.,PVR Ltd.,2013-03-19,,True
Den Networks Ltd.,Den Networks Ltd.,2013-04-01,,True
